,n_pairs_insample,portfolio_sharpe_ratio_insample,portfolio_vol_insample,avg_total_roi_insample,avg_annual_roi_insample,total_trades_insample,positive_trades_insample,negative_trades_insample,max_dd_insample,max_dd_duration_insample,total_dd_duration_insample,pct_positive_trades_per_pair_insample,pct_pairs_with_positive_results_insample,avg_half_life_insample,avg_hurst_exponent_insample,count_pairs_sharpe_dist_insample,mean_pairs_sharpe_dist_insample,std_pairs_sharpe_dist_insample,min_pairs_sharpe_dist_insample,25%_pairs_sharpe_dist_insample,50%_pairs_sharpe_dist_insample,75%_pairs_sharpe_dist_insample,max_pairs_sharpe_dist_insample,n_pairs_oosample,portfolio_sharpe_ratio_oosample,portfolio_vol_oosample,avg_total_roi_oosample,avg_annual_roi_oosample,total_trades_oosample,positive_trades_oosample,negative_trades_oosample,max_dd_oosample,max_dd_duration_oosample,total_dd_duration_oosample,pct_positive_trades_per_pair_oosample,pct_pairs_with_positive_results_oosample,avg_half_life_oosample,avg_hurst_exponent_oosample,count_pairs_sharpe_dist_oosample,mean_pairs_sharpe_dist_oosample,std_pairs_sharpe_dist_oosample,min_pairs_sharpe_dist_oosample,25%_pairs_sharpe_dist_oosample,50%_pairs_sharpe_dist_oosample,75%_pairs_sharpe_dist_oosample,max_pairs_sharpe_dist_oosample,train_period_start,train_period_end,validation_period,test_period_start,test_period_end,seed,n_clusters,clust_algo,distance_measure,n_principal_components,explained_variance,infomax_hofs,infomax_hofk,qvalue_threshold,multiple_hypothesis_correction_method,no_found_pairs_from_clustering,pvalue_threshold,hurst_threshold,min_zero_crossings,count_coint_pvals_dist,mean_coint_pvals_dist,std_coint_pvals_dist,min_coint_pvals_dist,25%_coint_pvals_dist,50%_coint_pvals_dist,75%_coint_pvals_dist,max_coint_pvals_dist
0,2.0,0.14361741136714062,0.011588699166633111,49.718244791706084,49.71824479170608,8.0,8.0,0.0,-6.4963430043285975,7.0,76.0,100.0,100.0,509.0,0.4029413250714118,2.0,2.2398854692325263,0.26594667641804626,2.0518327709033013,2.1458591200679136,2.2398854692325263,2.333911818397139,2.4279381675617513,2.0,0.10526236604044616,0.003926197074845044,10.805422204406323,10.805422204406323,3.0,3.0,0.0,-3.813124498902666,3.0,20.0,100.0,100.0,509.0,0.4029413250714118,2.0,1.461420878598648,0.033023479591659397,1.4380697522410102,1.4497453154198292,1.461420878598648,1.473096441777467,1.484772004956286,01-01-2012,31-12-2014,2014-01-01,01-01-2015,31-12-2015,109,18,kmeans,euclidean,-1,-1,0.4574171826038236,0.39074962678037695,0.1,Benjamini Yekutieli,494.0,0.1,0.5,12,550.0,0.4691323643068691,0.3166433047484203,7.870805362977913e-05,0.1896220362221414,0.42771451128349813,0.7644124581693271,0.99
0,77.0,0.2606674143825319,0.0014571395708931085,10.048896623613635,10.048896623613635,214.0,165.0,49.0,-0.9637007411311339,4.0,89.0,83.74164578111946,85.71428571428571,982.4285714285714,0.38774980354582483,77.0,1.0914767103427085,1.099998170750956,-1.065904799291168,0.39331681994813267,0.9109781212312427,2.028935994139615,3.207161637293954,77.0,0.23391149498651684,0.0017867175717263821,11.12073005387185,11.120730053871842,223.0,188.0,35.0,-1.1562134944694786,17.0,95.0,84.5952380952381,83.11688311688312,982.4285714285714,0.3877498035458249,77.0,1.0438619560788485,0.9856928314531321,-1.6625146192703284,0.32866480653416236,0.9237458883221403,1.6458084088555824,4.007703862055401,01-01-2012,31-12-2014,2014-01-01,01-01-2015,31-12-2015,109,22,kmeans,euclidean,-1,-1,0.5645185872830364,0.458686336176618,0.1,Benjamini Yekutieli,405.0,0.1,0.5,12,94.0,0.10860198725284825,0.21327848798588003,7.870805362977913e-05,0.012785028314818762,0.030214865947587446,0.07929971644958039,0.99
0,57.0,0.2701260632170684,0.0013594375057903619,9.70325104076516,9.70325104076517,172.0,130.0,42.0,-0.8140740770204533,3.0,92.0,81.5065192743764,82.45614035087719,932.5438596491229,0.37313081880968135,57.0,1.111149094884395,1.1759739623300964,-1.0376028409254918,0.145271090218359,0.9353293800092339,2.0518327709033013,3.207161637293954,57.0,0.1889773516726084,0.0017020370166312981,8.46359753432287,8.463597534322865,147.0,115.0,32.0,-1.4287732884104434,25.0,106.0,81.18589743589745,80.70175438596492,932.5438596491229,0.37313081880968135,57.0,0.8676601189274006,0.9016829722453632,-1.6625146192703284,0.25433583134252835,0.8193060113660092,1.362720483797211,4.007703862055401,01-01-2012,31-12-2014,2014-01-01,01-01-2015,31-12-2015,109,26,kmeans,euclidean,-1,-1,0.620757850222552,0.466775909121479,0.1,Benjamini Yekutieli,300.0,0.1,0.5,12,72.0,0.15974529542575044,0.2832106388292185,2.9208467861661867e-05,0.01308795977171856,0.03235952677129937,0.09011649718411752,0.99
0,33.0,0.21818881697294026,0.0016716968266881557,9.620724146651863,9.62072414665187,96.0,76.0,20.0,-1.1824915131616982,5.0,95.0,84.11458333333333,87.87878787878788,1004.5454545454545,0.3756224487724354,33.0,1.0475215108764024,1.0807040548238946,-0.8063167702304722,0.39331681994813267,0.8622838778183545,1.636887714110758,3.6416607606477247,33.0,0.2080996486425806,0.001287546080404985,7.018876048256171,7.018876048256173,90.0,65.0,25.0,-1.147069732107694,8.0,106.0,72.80555555555557,78.78787878787878,1004.5454545454545,0.37562244877243534,33.0,0.7393236386416924,0.703166951264328,-0.5868949618411815,0.057673649888923574,0.7634896561605872,1.3133482301054296,2.2994217157174663,01-01-2012,31-12-2014,2014-01-01,01-01-2015,31-12-2015,109,38,kmeans,euclidean,-1,-1,0.7296902309126921,0.4428407933633071,0.1,Benjamini Yekutieli,165.0,0.1,0.5,12,38.0,0.07099505024692837,0.16650213972521496,0.003348050271830303,0.009993744380883567,0.02251017444388198,0.06478703768712316,0.9109909566977005
0,57.0,0.18841965864324173,0.002232940005623921,11.14385535111856,11.143855351118571,171.0,122.0,49.0,-1.609486991736276,4.0,94.0,79.77182539682539,78.94736842105263,934.7719298245614,0.39186763849095213,57.0,0.9268080165712901,1.186673862519118,-1.354784573780524,0.15198295106326348,0.8613219335069775,1.7716768593898005,3.6416607606477247,57.0,0.2411863771655219,0.0017301784654292648,11.102176511270217,11.102176511270212,168.0,138.0,30.0,-1.3525792961860406,3.0,106.0,81.26602564102565,78.94736842105263,934.7719298245614,0.39186763849095213,57.0,0.9799613069370858,1.0560868447147334,-1.6625146192703284,0.24632662784142947,0.9237458883221403,1.5769171544875715,3.1490622763447154,01-01-2012,31-12-2014,2014-01-01,01-01-2015,31-12-2015,109,14,complete,cosine,-1,-1,0.4038655304766232,0.31365484400286076,0.1,Benjamini Yekutieli,417.0,0.1,0.5,12,116.0,0.1763464189033053,0.2372496499673441,0.0004528574597814909,0.01494746691559029,0.05504734615111535,0.2878071761275778,0.9792499477369493
0,61.0,0.23027043170894387,0.0016979834171244911,10.348655982482018,10.348655982482025,188.0,140.0,48.0,-0.989192122737042,4.0,88.0,81.35052910052909,83.60655737704919,853.4262295081967,0.3779641945363986,61.0,1.0092715927665825,1.1068819606875133,-1.065904799291168,0.39331681994813267,0.8489015115264223,1.7833071523396542,3.207161637293954,61.0,0.186242505796055,0.002014996960233937,9.922133475848446,9.92213347584845,178.0,148.0,30.0,-1.5246745226481113,23.0,97.0,84.37134502923978,85.24590163934427,853.4262295081967,0.3779641945363987,61.0,0.9507148038941655,0.9374892585200363,-1.6625146192703284,0.32866480653416236,0.8319040781770256,1.484772004956286,3.1490622763447154,01-01-2012,31-12-2014,2014-01-01,01-01-2015,31-12-2015,109,22,complete,euclidean,-1,-1,0.5565034862232238,0.42989724302383775,0.1,Benjamini Yekutieli,429.0,0.1,0.5,12,105.0,0.12271619431489782,0.1910285546686977,7.870805362977913e-05,0.01520440134949294,0.031945867011218605,0.09164355577865063,0.7488015249473456
0,52.0,0.31854537464501637,0.001954809674983775,16.952112442506237,16.952112442506227,216.0,165.0,51.0,-0.7871401059132297,3.0,98.0,79.67164643635232,78.84615384615384,816.3461538461538,0.3717614366050928,52.0,1.380003685678156,1.3775751962501877,-1.065904799291168,0.3062683390982494,1.1566612283469229,2.652925088908204,3.8019881892046716,52.0,0.17964285466924287,0.0019172520007249751,9.077257586746194,9.077257586746201,120.0,94.0,26.0,-1.4668463016074296,32.0,105.0,82.67006802721089,82.6923076923077,816.3461538461538,0.3717614366050928,52.0,0.8202701338764448,0.806614272225671,-1.6625146192703284,0.3271110110564722,0.7764317836240082,1.3228979757088384,2.799136028925324,01-01-2012,31-12-2014,2014-01-01,01-01-2015,31-12-2015,109,22,complete,l1,-1,-1,0.5561203202827463,0.4231052203796447,0.1,Benjamini Yekutieli,436.0,0.1,0.5,12,146.0,0.21009755141438438,0.298397947699166,2.9208467861661867e-05,0.02176426536859456,0.07548203279411696,0.21478110038211873,0.9886806445738792
0,76.0,0.26046660596249865,0.0013374113172259492,9.184448985148384,9.184448985148386,213.0,162.0,51.0,-0.9420534957234096,4.0,88.0,83.46560846560847,84.21052631578948,976.0131578947369,0.3936160007822563,76.0,1.037282582768873,1.1034664318241356,-1.065904799291168,0.3849924370156505,0.8835189945099807,1.8179398665696143,3.6416607606477247,76.0,0.29342989186896673,0.0015188668006110677,11.909203077256919,11.909203077256914,224.0,189.0,35.0,-1.0107411802292898,2.0,98.0,83.52380952380953,82.89473684210526,976.0131578947369,0.3936160007822563,76.0,1.1100844090020476,1.019807829617911,-1.6625146192703284,0.2945139791885254,1.0305139679037398,1.6548644759575684,4.007703862055401,01-01-2012,31-12-2014,2014-01-01,01-01-2015,31-12-2015,109,26,average,l1,-1,-1,0.5724828942262712,0.45474119208938074,0.1,Benjamini Yekutieli,434.0,0.1,0.5,12,81.0,0.04197754980611406,0.0789354045980463,2.9208467861661867e-05,0.009520594413104459,0.019962409841931324,0.056297124017944795,0.6672490362497528
0,58.0,0.1827220791370317,0.002033532198750503,9.787886533723833,9.787886533723844,180.0,120.0,60.0,-1.4512093904478824,4.0,93.0,74.79392926761348,74.13793103448276,904.051724137931,0.394331586456443,58.0,0.8559429642252699,1.1970248913505546,-1.4215724935454357,0.021216822014683404,0.8460624432220185,1.7379795730700398,3.2679171235321145,58.0,0.2378970466484855,0.0015531299817835864,9.781077781976716,9.781077781976721,159.0,130.0,29.0,-1.0822060854579378,3.0,106.0,83.03459119496857,79.3103448275862,904.051724137931,0.39433158645644306,58.0,0.9582103486745019,1.0262294138679355,-1.6625146192703284,0.2483289287167042,0.9293898408210262,1.4813138245044941,3.1490622763447154,01-01-2012,31-12-2014,2014-01-01,01-01-2015,31-12-2015,109,26,single,cosine,-1,-1,0.565994305338916,0.43667860141212134,0.1,Benjamini Yekutieli,448.0,0.1,0.5,12,150.0,0.2545334894009191,0.33166916892332027,2.9208467861661867e-05,0.017211146452044405,0.06695644521020269,0.5344159201576563,0.9694341207512893
0,70.0,0.24734533174349638,0.0019334984102121454,12.78541870889682,12.785418708896824,206.0,157.0,49.0,-1.2769858114573882,4.0,87.0,83.00322061191626,84.28571428571429,893.1428571428571,0.38936733469950424,70.0,1.1426342950303017,1.1735695370691215,-1.354784573780524,0.41893795730774036,0.9260510252451556,2.0843374023832157,3.2679171235321145,70.0,0.22496432322007642,0.0019395929897804438,11.62968268042097,11.629682680420972,190.0,159.0,31.0,-1.27972656469754,3.0,100.0,84.98737373737374,84.28571428571429,893.1428571428571,0.3893673346995043,70.0,0.9683049328311512,0.9851482655987643,-1.6625146192703284,0.31309622298643386,0.8768361628700152,1.5017065094782212,3.1490622763447154,01-01-2012,31-12-2014,2014-01-01,01-01-2015,31-12-2015,109,10,spectral,nearest_neighbors,-1,-1,0.21614925413429265,0.18730939896757284,0.1,Benjamini Yekutieli,436.0,0.1,0.5,12,124.0,0.15151817484565086,0.24449884275667796,2.9208467861661867e-05,0.015066467018677168,0.03595406259190109,0.10998212433603112,0.9246712739623965
